0	1	82	18	0	20	6311	166	195	492	26	39	1	12869	2	1	378	21	93	45	113	19	402	204	0	449	10	722	15669	3840	0	3	138	440	16	8	97	28	4	1	0	25	0	24	2	2	3	0	3	0	1	0	0	0	27	0	28	2	1	0	1	5	3	2	0	0	0	0	0	7	1	53	0	1	9	62	13	9	0	0	0	15
1	0	575	0	8	1	12	2	831	2	60	8	540	13	55	109	1748	25	458	0	11	5381	409	1023	4688	2741	21116	15	3	13	97	0	0	1404	2597	2104	1092	534	178	1	576	366	166	311	141	0	1	35	6	455	578	0	0	0	10	6	0	0	70	0	206	26	1	4	558	15	301	0	5	21	156	7	41	997	2789	4	8	17	14	0	0	216
82	575	0	0	0	140	2751	690	12	133	12	4	1	942	1	482	10463	7	102	1	1200	121	18004	1759	0	14422	17630	1292	56	975	0	4	1	1002	2841	3261	1437	901	5	5	1	191	37	109	57	0	0	0	0	183	694	1	0	2	20	9	2	0	3	0	1	20	0	26	197	1	18	1	3	45	400	1	1	57	1636	6	0	10	0	0	0	61
18	0	0	0	0	42	30	56	945	1070	9	3217	1	131	18	0	0	1	0	27363	3	0	12	3684	0	4	1	23795	300	5	1	1	7	149	82	0	79	3	43	22	0	14	0	6	0	35	0	0	0	0	0	90	0	7	49	7	182	71	0	24	0	6	2	0	0	0	0	60	0	1	0	251	0	0	0	361	13	1	0	0	1	9
0	8	0	0	0	1398	12	146	177	7	73	24	14	4	3386	8	4	2	0	6	9	34	10	55	3	3	22	26	245	10	1	3901	0	1581	56	18	54	18	5754	6216	6	1	0	0	0	2	1	0	0	0	0	1	2	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	5	0	1	0	0	0	0
20	1	140	42	1398	0	2537	27346	345	23725	180	8076	28	2112	2285	1	34	14	10	598	64	2	259	262	1	78	4	1872	977	21	7	2994	9	545	310	22	279	26	6819	2059	8	9	0	10	1	21	1	0	1	0	0	13	0	3	18	0	29	4	0	7	0	1	0	0	0	0	0	7	1	0	0	28	1	0	3	44	3	3	0	0	0	6
6311	12	2751	30	12	2537	0	9775	3009	11500	96	90	15	16755	142	19	2341	60	292	5	3772	31	7865	3982	0	2057	96	28857	4774	14508	0	24	373	2005	1601	63	1347	288	493	135	0	428	2	267	30	127	83	2	18	5	8	40	0	26	559	17	397	91	3	7	2	83	31	1	2	0	1	73	5	20	10	571	1	7	26	850	200	42	0	1	33	225
166	2	690	56	146	27346	9775	0	351	8472	361	1322	148	10364	967	7	379	40	66	631	508	15	1567	549	6	840	43	1645	1018	437	10	908	17	1253	930	118	949	114	4441	1928	22	61	2	36	6	21	9	1	6	2	7	7	1	3	65	2	38	12	0	1	2	12	1	1	0	0	0	14	1	10	8	74	0	0	16	126	22	8	0	1	7	33
195	831	12	945	177	345	3009	351	0	874	55	2941	24	629	1651	63	223	9	18	650	58	6929	68	24098	189	179	1624	6530	2186	2637	2	20	586	1157	3857	236	925	177	4067	167	6	103	3	54	9	42	11	0	21	0	2	159	2	31	357	14	647	169	7	40	5	43	8	2	4	1	1	68	3	13	4	855	0	4	6	678	71	223	0	1	6	44
492	2	133	1070	7	23725	11500	8472	874	0	154	7108	29	3917	56	0	14	28	5	3624	101	4	253	1364	1	51	16	8899	5063	44	5	72	87	1986	904	15	735	20	422	231	1	22	0	23	1	46	9	1	3	1	0	141	0	20	88	13	264	127	0	25	1	15	3	3	0	0	0	75	0	0	0	403	0	0	1	671	39	1	0	1	0	22
26	60	12	9	73	180	96	361	55	154	0	253	13346	995	2	143	568	13094	8678	80	361	66	368	66	3090	7486	517	97	546	211	283	346	18	10724	407	5619	5446	173	457	22	4300	9	307	13	3	2	1	86	0	47	2	1	0	0	31	0	9	1	530	0	2687	0	0	24	1	31	7	3	3	22	10	31	215	295	286	32	5	3	306	0	0	6
39	8	4	3217	24	8076	90	1322	2941	7108	253	0	37	3259	3263	0	1	32	11	18064	1	12	1	1324	6	47	13	1836	1775	2	2	118	4	957	694	16	443	7	2754	194	7	0	0	2	0	23	1	0	0	0	0	43	0	6	7	0	57	22	0	28	3	0	0	0	0	0	0	18	0	0	0	80	0	1	1	109	2	0	0	0	0	1
1	540	1	1	14	28	15	148	24	29	13346	37	0	156	4	7	13	470	77	15	2	67	5	45	11094	2199	13344	13	84	7	6575	69	0	6096	572	2835	4846	906	98	1021	4083	11	456	111	30	4	55	137	2	33	2	1	2	2	5	5	2	3	544	5	2828	11	0	2	1	27	9	6	1	6	0	3	200	533	289	2	7	0	382	2	0	95
12869	13	942	131	4	2112	16755	10364	629	3917	995	3259	156	0	40	4	1392	135	369	1462	569	54	2468	819	7	2390	95	3073	10695	4297	15	736	21	4039	995	126	1926	221	2475	716	42	109	2	62	13	25	15	1	8	2	7	20	0	4	125	6	83	27	0	1	2	18	6	3	1	0	0	18	7	18	11	187	0	4	37	265	40	38	1	0	7	54
2	55	1	18	3386	2285	142	967	1651	56	2	3263	4	40	0	119	6	0	2	51	130	142	101	856	7	15	94	380	70	85	0	377	16	44	163	87	218	183	19679	290	0	21	0	8	25	24	4	0	3	1	0	13	37	3	31	1	43	16	1	7	0	2	13	0	0	0	0	9	3	1	0	69	0	1	0	75	6	5	0	0	3	4
